Company,Year,Energy_Consumption,Female_Employees,GHG_Scope_1,GHG_Scope_2,Living_Wage_Policy,Modern_Slavery_Statement,Total_Waste_Generated,Total_Waste_Recycled,Water_Withdrawals,Total_Employees,Supplier_List,Supplied_By,Address
"Atlanta Capital Management Company, L.L.C.,2020,,,,,,""Yes - UK Modern Slavery Act, Yes - Australian Modern Slavery Act"",,,,,,,",nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atmos Capital Gestao de Recursos Ltda,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
Atom Investors LP,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Atreides Management LP,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
Aviva Investors,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Aviva Investors,2021,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
BB Gestao de Recursos DTVM SA,2021,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
"BNP Paribas Asset Management,2020,,,,,,""Yes - UK Modern Slavery Act, Yes - Australian Modern Slavery Act"",,,,,,,",nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNP Paribas Asset Management United States of America, Inc.,2020,,,,,,""Yes - UK Modern Slavery Act, Yes - Australian Modern Slavery Act"",,,,,,,",nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BNY Mellon Administracao de Ativos Ltda.,2020,NA,NA,NA,NA,NA,Yes - Australian Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
BRAM - Bradesco Asset Management S.A. DTVM,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
